TABLE NO.  2
 ID             ,SID            ,KA             ,CL             ,V              ,ETA1           ,ETA2           ,ETA3           ,ETA4           ,ETA5           ,ETA6
  2.90000000E+01, 1.00000000E+00, 7.67367347E-01, 4.60573342E-03, 4.08744757E-02,-3.91170773E-02,-2.01425964E-01, 1.61436493E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  3.00000000E+01, 1.00000000E+00, 8.03040578E-01, 5.38777880E-03, 3.90595131E-02, 6.32254223E-03,-4.45946819E-02, 1.16017150E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  3.10000000E+01, 1.00000000E+00, 6.78389737E-01, 6.49864675E-03, 3.46652257E-02,-1.62360747E-01, 1.42866076E-01,-3.33226459E-03,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  3.20000000E+01, 1.00000000E+00, 8.01805006E-01, 6.03938729E-03, 3.69975357E-02, 4.78274037E-03, 6.95746782E-02, 6.17819994E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  3.30000000E+01, 1.00000000E+00, 8.33149684E-01, 5.36225488E-03, 3.20144528E-02, 4.31306144E-02,-4.93433130E-02,-8.28818582E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  3.40000000E+01, 1.00000000E+00, 7.92154220E-01, 5.31577560E-03, 3.12563219E-02,-7.32660866E-03,-5.80489583E-02,-1.06847651E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  3.50000000E+01, 1.00000000E+00, 1.04989231E+00, 5.11817869E-03, 3.27989869E-02, 2.74360171E-01,-9.59292337E-02,-5.86716812E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  3.60000000E+01, 1.00000000E+00, 7.89876207E-01, 5.74270349E-03, 2.92259759E-02,-1.02064700E-02, 1.92022056E-02,-1.74011409E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  3.70000000E+01, 1.00000000E+00, 7.06291716E-01, 5.63739467E-03, 3.48328620E-02,-1.22054355E-01, 6.94134264E-04, 1.49194311E-03,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  3.80000000E+01, 1.00000000E+00, 7.93469177E-01, 5.15488034E-03, 3.23768566E-02,-5.66800926E-03,-8.87839810E-02,-7.16254443E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  3.90000000E+01, 1.00000000E+00, 7.03144462E-01, 6.39988104E-03, 3.64741879E-02,-1.26520340E-01, 1.27551517E-01, 4.75355210E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  4.00000000E+01, 1.00000000E+00, 7.91594795E-01, 5.39877893E-03, 3.07723030E-02,-8.03306467E-03,-4.25550811E-02,-1.22454276E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  4.10000000E+01, 1.00000000E+00, 6.43696999E-01, 5.85757389E-03, 3.31984952E-02,-2.14854586E-01, 3.90076209E-02,-4.65647604E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  4.20000000E+01, 1.00000000E+00, 7.92558049E-01, 5.87293374E-03, 3.07411850E-02,-6.81695203E-03, 4.16264083E-02,-1.23466022E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  4.30000000E+01, 1.00000000E+00, 8.75697051E-01, 5.74325013E-03, 3.34762037E-02, 9.29374949E-02, 1.92973886E-02,-3.82344602E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  4.40000000E+01, 1.00000000E+00, 8.08108581E-01, 5.73391743E-03, 4.26791496E-02, 1.26137283E-02, 1.76710821E-02, 2.04641193E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  4.50000000E+01, 1.00000000E+00, 8.75133126E-01, 6.45989737E-03, 3.09012315E-02, 9.22933155E-02, 1.36885545E-01,-1.18273272E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
